,Type,Date,Value
115318,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:06:56,92.0
115319,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:07:18,87.0
115320,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:07:25,101.0
115321,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:07:31,102.0
115322,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:07:36,102.0
115323,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:07:41,104.0
115324,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:07:46,105.0
115325,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:07:51,101.0
115326,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:07:56,102.0
115327,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:01,101.0
115328,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:06,101.0
115329,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:11,103.0
115330,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:16,102.0
115331,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:21,101.0
115332,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:26,102.0
115333,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:31,101.0
115334,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:36,100.0
115335,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:41,102.0
115336,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:46,102.0
115337,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:51,102.0
115338,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:08:56,105.0
115339,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:01,104.0
115340,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:06,101.0
115341,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:11,102.0
115342,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:16,103.0
115343,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:21,100.0
115344,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:26,101.0
115345,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:31,104.0
115346,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:36,104.0
115347,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:41,102.0
115348,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:46,102.0
115349,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:51,96.0
115350,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:09:56,97.0
115351,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:01,96.0
115352,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:06,97.0
115353,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:11,103.0
115354,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:16,106.0
115355,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:21,106.0
115356,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:26,108.0
115357,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:37,107.0
115358,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:42,105.0
115359,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:47,103.0
115360,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:52,102.0
115361,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:10:57,103.0
115362,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:02,102.0
115363,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:07,103.0
115364,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:12,99.0
115365,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:23,97.0
115366,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:28,102.0
115367,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:33,100.0
115368,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:38,99.0
115369,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:43,109.0
115370,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:48,110.0
115371,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:53,111.0
115372,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:11:58,112.0
115373,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:12:13,108.0
115374,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:12:18,110.0
115375,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:12:23,112.0
115376,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:12:28,112.0
115377,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:12:33,112.0
115378,HKQuantityTypeIdentifierHeartRate,2024-03-22 11:12:38,107.0
